#Objective1, #Objective2, #Objective3, #Objective4, #Objective5, #Variable1, #Variable2, #Variable3, #Variable4, #Variable5, #Variable6, #Variable7, #Variable8, #Variable9, #Variable10, #Variable11, #Variable12, #Variable13, #Variable14, #Variable15, #Variable16, #Variable17, #Variable18, #Variable19, #Variable20, #Variable21, #Variable22, #Variable23, #Variable24, #Variable25, #Variable26, #Variable27, #Variable28, #Variable29, #Variable30, #Variable31, #Variable32, #Constraint1, #Constraint2, #Constraint3, #Constraint4, #Constraint5, #Constraint6, #Constraint7, #Constraint8, #Constraint9, #Constraint10, #Constraint11, #Constraint12, #Constraint13, #Constraint14, #Constraint15, #Constraint16, #Constraint17, #Constraint18, #Constraint19, #Constraint20, #Constraint21, #Constraint22, #OverallConstraintViolation
-14966085.891847,1384015.317120,73859047.487816,58.814238,-0.833506,0.827117,0.828813,0.455123,0.297724,0.437264,0.649148,0.477224,0.274899,0.585252,0.506419,0.787179,0.407981,0.360812,0.947849,0.271525,0.324128,0.563969,0.593994,0.239093,0.667761,0.311328,0.525593,0.639869,0.286842,0.162888,0.584056,0.771115,0.781277,0.459030,0.382388,0.323219,0.313636,10.815326,15.467551,0.069845,0.181767,0.680405,0.787935,0.593774,0.683119,0.858241,0.933108,0.565477,0.464252,0.158207,21.185762,0.005005,0.003769,5.822263,0.004247,0.004257,0.000662,0.002187,14966085.891847,0.000000
-15434732.304118,1366672.812250,76363927.374565,62.141357,-1.334143,0.691143,0.770798,0.480872,0.273987,0.644986,0.701761,0.296088,0.422630,0.355084,0.332456,0.575553,0.389701,0.189952,0.923677,0.377989,0.629653,0.674709,0.335427,0.553539,0.571072,0.150438,0.442151,0.546189,0.315459,0.192716,0.486971,0.803801,0.728371,0.351507,0.442909,0.357373,0.286154,11.186640,14.651867,0.012660,0.190823,0.718052,0.829304,0.632374,0.724495,0.895338,0.958648,0.736616,0.437626,0.030814,17.858643,0.000444,0.012577,5.351842,0.004036,0.004076,0.000475,0.002374,15434732.304118,0.000000
-15667240.025275,1364012.250566,74682960.051988,61.370125,-0.403194,0.778504,0.804646,0.476926,0.387490,0.417042,0.640812,0.450492,0.308808,0.547310,0.554810,0.742868,0.416235,0.275947,0.978791,0.223020,0.349375,0.562700,0.538202,0.224593,0.533632,0.361686,0.443940,0.669441,0.318143,0.163103,0.498922,0.780036,0.718437,0.400512,0.320492,0.324958,0.301915,10.311381,15.545527,0.017326,0.153733,0.631866,0.767916,0.548097,0.661454,0.796296,0.911375,0.331817,0.462431,0.198280,18.629875,0.002360,0.003218,5.465511,0.004138,0.004151,0.000564,0.002285,15667240.025275,0.000000
-15483035.427298,1532801.561057,73654769.667528,62.130216,-1.449552,0.676188,0.971688,0.490123,0.468764,0.965854,0.688741,0.492459,0.401815,0.382485,0.385953,0.779047,0.880063,0.243379,0.968587,0.539801,0.855267,0.984084,0.737409,0.593631,0.879015,0.279889,0.256553,0.663633,0.347852,0.116692,0.442024,0.840743,1.000000,0.603275,0.441758,0.455936,0.248753,12.360572,17.152120,0.165700,0.208764,0.733322,0.815674,0.641960,0.710272,0.904660,0.951782,0.765325,0.446978,0.049142,17.869784,0.003223,0.025055,9.875258,0.004708,0.004724,0.000673,0.002176,15483035.427298,0.000000
-13786151.367550,1395757.246689,69959975.423637,65.588048,-1.189559,0.811933,0.846209,0.474064,0.283373,0.559818,0.740059,0.468457,0.405053,0.608279,0.339817,0.700881,0.579367,0.511524,0.935166,0.237463,0.214229,0.596525,0.489713,0.171101,0.661704,0.223613,0.323486,0.579203,0.332760,0.252155,0.674284,0.820463,0.801988,0.597952,0.410947,0.293367,0.268586,12.128440,12.973835,0.058661,0.172366,0.725303,0.797104,0.636105,0.695792,0.895709,0.940202,0.695645,0.514792,0.109545,14.411952,0.012709,0.001706,7.521234,0.004606,0.004612,0.000612,0.002237,13786151.367550,0.000000
-12315891.386932,1454095.206621,72809082.388133,54.232778,-0.846337,0.913462,0.779077,0.431348,0.352495,0.389189,0.699256,0.478283,0.304546,0.767767,0.542300,0.830020,0.550444,0.489572,0.877921,0.233013,0.331035,0.428392,0.751570,0.197103,0.513916,0.369884,0.513662,0.714434,0.208012,0.229234,0.593122,0.703525,0.777779,0.548184,0.419394,0.366141,0.344831,10.692489,13.458619,0.055594,0.192043,0.685958,0.787208,0.593187,0.677114,0.871454,0.937386,0.571017,0.503140,0.036883,25.767222,0.012831,0.002802,5.952707,0.004300,0.004298,0.000708,0.002141,12315891.386932,0.000000
-17775838.144639,1328647.924954,83697661.755235,67.879955,-0.157732,0.709582,0.795382,0.482477,0.238086,0.648213,0.571180,0.432145,0.261638,0.384012,0.402769,0.669249,0.463560,0.209894,0.929300,0.327174,0.604230,0.572793,0.223928,0.505193,0.630612,0.231298,0.447203,0.432628,0.397824,0.162028,0.416654,0.837611,0.713485,0.334757,0.269884,0.356446,0.232818,10.960048,15.593789,0.040309,0.141927,0.555690,0.749449,0.484142,0.645909,0.676423,0.882736,0.145922,0.435770,0.201628,12.120045,0.001240,0.008700,4.696423,0.004312,0.004343,0.000647,0.002202,17775838.144639,0.000000
-15983743.811543,1417991.393654,85435544.175871,62.824986,-1.057266,0.759011,0.767727,0.535179,0.345639,0.530406,0.674405,0.671783,0.102621,0.540886,0.875689,0.633779,0.584477,0.169026,0.903476,0.531845,0.518853,0.413817,0.806991,0.413395,0.439892,0.456534,0.650123,0.699279,0.317858,0.205230,0.507387,0.865806,0.851212,0.251526,0.369466,0.371557,0.199746,9.516612,14.112485,0.033252,0.190438,0.656977,0.784179,0.579041,0.636013,0.831513,0.927536,0.652596,0.354610,0.228031,17.175014,0.000443,0.017467,5.467957,0.004272,0.004290,0.000674,0.002175,15983743.811543,0.000000
-12617118.243499,1407095.496078,66125765.099078,58.253921,-0.963470,0.738578,0.905023,0.408134,0.313900,0.537591,0.605745,0.596615,0.381157,0.603975,0.484647,0.706547,0.503389,0.427236,0.977443,0.290873,0.302621,0.807829,0.731540,0.127251,0.760902,0.244922,0.390673,0.693309,0.283839,0.154327,0.686471,0.761972,0.900340,0.496185,0.406367,0.367318,0.370592,11.697041,15.844807,0.083030,0.195898,0.718110,0.781211,0.623815,0.676308,0.891483,0.931863,0.618433,0.437880,0.052019,21.746079,0.009964,0.003265,7.028708,0.004378,0.004386,0.000702,0.002147,12617118.243499,0.000000
-15249980.137299,1419957.419813,72973650.699694,62.111240,-0.584599,0.769886,0.840429,0.483698,0.355049,0.559374,0.654729,0.448451,0.404856,0.472829,0.451662,0.675180,0.551519,0.369353,0.920755,0.290414,0.361087,0.560387,0.483956,0.358433,0.506959,0.314033,0.338188,0.596394,0.305149,0.218792,0.445696,0.797058,0.757928,0.483700,0.336265,0.385763,0.355836,11.198329,13.958063,0.060041,0.164272,0.654135,0.770568,0.566168,0.663155,0.822473,0.915532,0.442671,0.483333,0.083508,17.888760,0.006161,0.004911,6.305145,0.004499,0.004507,0.000637,0.002212,15249980.137299,0.000000
