#Objective1, #Objective2, #Objective3, #Objective4, #Objective5, #Variable1, #Variable2, #Variable3, #Variable4, #Variable5, #Variable6, #Variable7, #Variable8, #Variable9, #Variable10, #Variable11, #Variable12, #Variable13, #Variable14, #Variable15, #Variable16, #Variable17, #Variable18, #Variable19, #Variable20, #Variable21, #Variable22, #Variable23, #Variable24, #Variable25, #Variable26, #Variable27, #Variable28, #Variable29, #Variable30, #Variable31, #Variable32, #Constraint1, #Constraint2, #Constraint3, #Constraint4, #Constraint5, #Constraint6, #Constraint7, #Constraint8, #Constraint9, #Constraint10, #Constraint11, #Constraint12, #Constraint13, #Constraint14, #Constraint15, #Constraint16, #Constraint17, #Constraint18, #Constraint19, #Constraint20, #Constraint21, #Constraint22, #OverallConstraintViolation
-5738999.603400,1384021.690232,47582617.637814,36.806728,-1.409847,0.629637,0.772704,0.435381,0.178929,0.960545,0.930120,0.672457,0.114049,0.652998,0.884356,0.798736,0.379035,0.351449,0.664352,0.755002,0.528775,0.453668,0.392935,0.984217,0.691917,0.303512,0.023940,0.316639,0.053352,0.037810,0.232521,0.867600,0.754749,0.252082,0.421183,0.280819,0.276027,13.616940,19.542102,0.404412,0.238687,0.799893,0.796446,0.693192,0.701784,0.928685,0.940033,0.755819,0.385857,0.106781,43.193272,0.005195,0.017644,6.169842,0.004695,0.004703,0.000892,0.001957,5738999.603400,0.000000
-6079958.001967,1462934.547194,44905730.143886,35.473500,-1.707132,0.936724,0.835223,0.430398,0.133938,0.780728,0.904867,0.848206,0.628536,0.450815,0.875699,0.827841,0.383765,0.228292,0.656797,0.237292,0.549903,0.462060,0.820361,0.368155,0.207165,0.161729,0.025594,0.897523,0.036006,0.037394,0.960790,0.921661,0.764793,0.336704,0.441079,0.300495,0.234376,13.821398,19.570922,0.484482,0.277862,0.817538,0.777904,0.684163,0.687370,0.950561,0.930550,0.818615,0.418405,0.085521,44.526500,0.002512,0.003934,6.587321,0.004604,0.004629,0.000806,0.002043,6079958.001967,0.000000
-6133010.920415,1490140.568806,46070010.853855,35.579761,-1.945586,0.936724,0.835223,0.430440,0.133938,0.988640,0.904867,0.848206,0.630430,0.450815,0.875699,0.827841,0.382484,0.236600,0.656797,0.237292,0.549903,0.685520,0.819975,0.829597,0.813753,0.161729,0.593319,0.897523,0.036006,0.037394,0.960790,0.921661,0.785738,0.313114,0.481923,0.300495,0.234376,11.204553,19.108065,0.457280,0.286075,0.827613,0.786857,0.672699,0.688838,0.946535,0.938826,0.857097,0.401279,0.002579,44.420239,0.002520,0.003663,7.419419,0.004635,0.004652,0.000806,0.002043,6133010.920415,0.000000
-5626724.870481,1377186.453736,47011974.595280,36.806728,-1.492297,0.629637,0.783552,0.435381,0.125249,0.960545,0.930120,0.672457,0.114049,0.652456,0.725373,0.817347,0.379035,0.351449,0.664352,0.754168,0.528775,0.453668,0.392935,0.848617,0.691917,0.303512,0.023940,0.276791,0.053352,0.037810,0.232521,0.893087,0.754749,0.252122,0.421183,0.280819,0.276027,13.704514,19.542384,0.464654,0.242323,0.804306,0.798917,0.694528,0.705310,0.929549,0.940990,0.775144,0.385874,0.118247,43.193272,0.005211,0.017280,6.215257,0.004764,0.004772,0.000876,0.001973,5626724.870481,0.000000
-6364958.024071,1367607.431673,51187561.611868,39.480557,-0.772359,0.643365,0.827854,0.435426,0.178815,0.975799,0.501220,0.846147,0.092994,0.458366,0.400440,0.929462,0.393540,0.369868,0.090706,0.634909,0.687191,0.746763,0.813051,0.847002,0.639657,0.321544,0.015547,0.719512,0.088260,0.038219,0.035966,0.918347,0.756279,0.254327,0.467549,0.216726,0.268212,13.742725,19.557488,0.552781,0.204772,0.719898,0.766234,0.610537,0.649560,0.838289,0.877951,0.538078,0.386301,0.028925,40.519443,0.000568,0.026838,5.609564,0.004781,0.004789,0.000815,0.002034,6364958.024071,0.000000
-6496042.679963,1476531.721251,49031736.304433,37.265080,-1.945586,0.938912,0.844514,0.436854,0.134904,0.988640,0.904867,0.848206,0.630430,0.450815,0.834512,0.827832,0.393661,0.218982,0.656797,0.237292,0.549903,0.681703,0.819694,0.829597,0.813753,0.161729,0.593319,0.892871,0.058012,0.037394,0.960790,0.921661,0.779465,0.313114,0.481923,0.300495,0.241947,11.207483,19.117998,0.449650,0.281342,0.820551,0.786853,0.679667,0.693945,0.950259,0.938823,0.857097,0.403398,0.002579,42.734920,0.002136,0.003647,7.426336,0.004630,0.004647,0.000802,0.002047,6496042.679963,0.000000
-6097228.007913,1458330.530612,44611030.063002,36.744079,-1.707132,0.936724,0.719949,0.430398,0.133938,0.751392,0.911140,0.842115,0.628536,0.450815,0.869735,0.937544,0.382175,0.228292,0.912984,0.621781,0.549903,0.462060,0.820361,0.408876,0.847845,0.165648,0.025254,0.897523,0.052647,0.037394,0.960790,0.921661,0.872719,0.332585,0.441079,0.300495,0.236497,13.647666,19.575141,0.351632,0.284028,0.818116,0.778565,0.688902,0.687806,0.952098,0.930927,0.818615,0.380906,0.085521,43.255921,0.001782,0.017431,5.846889,0.004481,0.004509,0.000732,0.002117,6097228.007913,0.000000
-5787744.884893,1455363.253288,46986757.088776,35.162580,-1.850261,0.938434,0.835223,0.430398,0.133938,0.980076,0.904867,0.668737,0.628536,0.586460,0.379523,0.952858,0.533439,0.277603,0.658619,0.232345,0.550141,0.288081,0.125090,0.839717,0.207165,0.161729,0.639014,0.898328,0.036006,0.017047,0.960010,0.921661,0.764796,0.334318,0.465204,0.300495,0.267319,10.796473,19.687409,0.608551,0.285963,0.819691,0.802374,0.706044,0.708926,0.954338,0.945757,0.842804,0.417392,0.034947,44.837420,0.004642,0.001812,8.180245,0.004838,0.004850,0.000942,0.001907,5787744.884893,0.000000
-5701443.470672,1392376.906223,47635130.305867,36.805600,-1.406731,0.629637,0.801032,0.435381,0.180770,0.960545,0.933270,0.669899,0.113829,0.497285,0.884240,0.798736,0.379035,0.351449,0.664423,0.749610,0.527922,0.726217,0.392935,0.984217,0.691917,0.308636,0.023940,0.316639,0.053338,0.037810,0.232521,0.867600,0.754749,0.252082,0.420691,0.280819,0.268833,13.641133,19.543756,0.420076,0.238161,0.799854,0.795605,0.689686,0.700992,0.929027,0.939531,0.755057,0.385857,0.107932,43.194400,0.005193,0.016933,6.561880,0.004706,0.004715,0.000888,0.001961,5701443.470672,0.000000
-5988272.935698,1384280.894779,45236205.105345,38.612088,-1.136389,0.831642,0.635280,0.436647,0.103113,0.961449,0.954210,0.651149,0.149881,0.373771,0.159830,0.942435,0.389294,0.216041,0.052812,0.629090,0.552507,0.792161,0.858712,0.834724,0.765612,0.158973,0.584326,0.713015,0.075625,0.037390,0.839404,0.867428,0.753252,0.688217,0.379985,0.293813,0.361526,10.807371,19.090354,0.488845,0.254735,0.784086,0.768217,0.686765,0.673913,0.929003,0.918908,0.679024,0.553587,0.173883,41.387912,0.000388,0.019620,6.646633,0.004611,0.004621,0.000855,0.001994,5988272.935698,0.000000
