#Objective1, #Objective2, #Objective3, #Objective4, #Objective5, #Variable1, #Variable2, #Variable3, #Variable4, #Variable5, #Variable6, #Variable7, #Variable8, #Variable9, #Variable10, #Variable11, #Variable12, #Variable13, #Variable14, #Variable15, #Variable16, #Variable17, #Variable18, #Variable19, #Variable20, #Variable21, #Variable22, #Variable23, #Variable24, #Variable25, #Variable26, #Variable27, #Variable28, #Variable29, #Variable30, #Variable31, #Variable32, #Constraint1, #Constraint2, #Constraint3, #Constraint4, #Constraint5, #Constraint6, #Constraint7, #Constraint8, #Constraint9, #Constraint10, #Constraint11, #Constraint12, #Constraint13, #Constraint14, #Constraint15, #Constraint16, #Constraint17, #Constraint18, #Constraint19, #Constraint20, #Constraint21, #Constraint22, #OverallConstraintViolation
-12046621.529347,1639902.908591,71324422.218051,44.203477,-0.545818,0.818675,0.927182,0.621484,0.310434,0.853107,0.531782,0.696664,0.713150,0.058822,0.089142,0.814872,0.467335,0.322675,0.365595,0.286908,0.181007,0.592330,0.501087,0.600455,0.382574,0.714416,0.036552,0.221139,0.012121,0.569014,0.640264,0.823238,0.398620,0.509401,0.461841,0.143485,0.333909,13.803108,3.553071,0.279363,0.135801,0.625382,0.751901,0.426016,0.532254,0.683200,0.832928,0.420632,0.424235,0.000934,35.796523,0.003482,0.001196,6.297764,0.004163,0.004129,0.000070,0.002779,12046621.529347,0.000000
-6722798.490408,1407537.076182,51479743.437772,34.492532,-0.452979,0.824041,0.927616,0.617053,0.062188,0.673636,0.540584,0.677725,0.431879,0.386025,0.095165,0.819146,0.415930,0.618700,0.370359,0.172639,0.173363,0.105272,0.506453,0.151627,0.402223,0.016474,0.026803,0.220035,0.021072,0.045249,0.648336,0.919069,0.269023,0.663646,0.465230,0.162851,0.224599,14.432251,19.315603,0.792590,0.198742,0.700791,0.809854,0.510125,0.601650,0.818356,0.911665,0.364269,0.341189,0.033829,45.507468,0.006035,0.000631,6.560544,0.004875,0.004850,0.000699,0.002150,6722798.490408,0.000000
-6907784.829065,1451840.035849,49879369.720543,36.454808,-1.495920,0.706604,0.937979,0.393360,0.315600,0.765960,0.818442,0.674192,0.456510,0.544851,0.568396,0.249783,0.330436,0.731762,0.567768,0.133431,0.859004,0.779300,0.799476,0.822304,0.296157,0.534567,0.277607,0.630012,0.053404,0.019148,0.649301,0.823290,0.872827,0.629107,0.459189,0.307445,0.231162,11.605811,19.929213,0.268672,0.268003,0.797155,0.798792,0.698967,0.700578,0.944069,0.944793,0.775958,0.501145,0.006142,43.545192,0.001498,0.004134,7.678085,0.004382,0.004370,0.000762,0.002087,6907784.829065,0.000000
-12284430.273493,1584916.217978,68032293.815420,54.721067,-1.837556,0.891642,0.926569,0.605817,0.428418,0.662381,0.525143,0.677919,0.613874,0.385305,0.051669,0.900237,0.416195,0.629044,0.370360,0.280070,0.191609,0.683472,0.632730,0.191598,0.815682,0.733110,0.818063,0.216951,0.150473,0.433196,0.773183,0.920458,0.270456,0.881104,0.463674,0.317851,0.082969,9.385923,7.106951,0.191589,0.154303,0.713027,0.725055,0.579848,0.587809,0.562353,0.593805,0.840794,0.341349,0.037518,25.278933,0.002550,0.001142,6.752182,0.004339,0.004335,0.000342,0.002507,12284430.273493,0.000000
-6722798.490408,1406033.154803,51504805.595703,34.492532,-0.452979,0.824041,0.927616,0.617053,0.062188,0.673636,0.540584,0.677725,0.431879,0.386025,0.095165,0.819146,0.415930,0.618700,0.370359,0.172639,0.173363,0.105272,0.469023,0.151627,0.402223,0.016474,0.026803,0.220035,0.021072,0.045249,0.648336,0.919069,0.269023,0.663646,0.465230,0.162851,0.224599,14.433790,19.315603,0.800859,0.199016,0.700417,0.809431,0.509981,0.601462,0.817972,0.911357,0.364269,0.341189,0.033829,45.507468,0.006035,0.000671,6.560550,0.004875,0.004850,0.000699,0.002150,6722798.490408,0.000000
-7041013.546919,1429614.391552,53024015.667456,34.492532,-0.148552,0.824041,0.966156,0.617053,0.171897,0.632289,0.540584,0.677862,0.431879,0.386025,0.152730,0.821244,0.415930,0.618700,0.370359,0.172648,0.173363,0.600287,0.506742,0.166263,0.402223,0.016474,0.026803,0.220035,0.021072,0.045249,0.039583,0.919069,0.804879,0.663646,0.464020,0.162666,0.224599,14.409797,19.324956,0.796661,0.203781,0.653695,0.722771,0.546699,0.604962,0.694058,0.779583,0.138044,0.541091,0.036250,45.507468,0.006073,0.000618,7.333305,0.004864,0.004836,0.000690,0.002159,7041013.546919,0.000000
-8058745.713878,1484184.823858,57417757.124726,34.824616,-0.118055,0.815416,0.927616,0.617053,0.454545,0.673636,0.540483,0.684664,0.427436,0.386025,0.091994,0.819146,0.415930,0.613326,0.370359,0.173226,0.859350,0.134524,0.506536,0.151627,0.371183,0.016474,0.026803,0.220035,0.021072,0.061647,0.648336,0.919069,0.269044,0.663646,0.456998,0.143966,0.224599,14.336724,18.845874,0.633209,0.178768,0.661655,0.814571,0.455035,0.583639,0.752985,0.904353,0.111353,0.341197,0.050529,45.175384,0.002359,0.001841,8.326147,0.004752,0.004748,0.000697,0.002152,8058745.713878,0.000000
-5536957.386284,1465439.584777,43493074.784506,33.667601,-1.495920,0.704496,0.937618,0.403730,0.158144,0.765960,0.818442,0.674192,0.456510,0.201053,0.568396,0.223508,0.428533,0.731762,0.567768,0.159018,0.859004,0.779300,0.799659,0.822304,0.234722,0.534567,0.277607,0.630012,0.016554,0.019148,0.649301,0.823290,0.903312,0.629107,0.459189,0.317789,0.231162,12.032678,19.900177,0.389972,0.283940,0.813983,0.796448,0.712578,0.698372,0.952391,0.943597,0.775958,0.490138,0.006142,46.332399,0.001381,0.005009,7.097082,0.004357,0.004342,0.000739,0.002110,5536957.386284,0.000000
-6268054.173641,1409624.679393,46455426.185738,36.498515,-1.434141,0.706604,0.935422,0.393360,0.176549,0.765960,0.808638,0.674192,0.456760,0.059975,0.492545,0.250018,0.330436,0.591491,0.894449,0.137770,0.859004,0.780425,0.111516,0.822304,0.296157,0.540262,0.274422,0.630012,0.053990,0.019148,0.649301,0.823199,0.872827,0.624501,0.448807,0.332960,0.231162,11.770306,19.910735,0.333894,0.282577,0.801903,0.791267,0.702898,0.694381,0.945789,0.940138,0.761680,0.499276,0.026935,43.501485,0.001813,0.004271,7.365696,0.004456,0.004449,0.000791,0.002058,6268054.173641,0.000000
-7156786.169474,1447257.334549,53670708.666505,34.807841,-0.112172,0.839186,0.944072,0.617053,0.305362,0.085369,0.857877,0.689150,0.713206,0.094180,0.233449,0.819146,0.716133,0.330467,0.369873,0.474682,0.173363,0.105272,0.494965,0.436682,0.402223,0.007416,0.264504,0.246296,0.021200,0.058206,0.648336,0.920158,0.269023,0.663646,0.461841,0.143406,0.355061,13.050550,18.750399,0.633563,0.180528,0.667366,0.754212,0.458516,0.531674,0.760904,0.849045,0.106110,0.340868,0.041090,45.192159,0.003840,0.000658,11.921140,0.004932,0.004936,0.000837,0.002012,7156786.169474,0.000000
