#Objective1, #Objective2, #Objective3, #Objective4, #Objective5, #Variable1, #Variable2, #Variable3, #Variable4, #Variable5, #Variable6, #Variable7, #Variable8, #Variable9, #Variable10, #Variable11, #Variable12, #Variable13, #Variable14, #Variable15, #Variable16, #Variable17, #Variable18, #Variable19, #Variable20, #Variable21, #Variable22, #Variable23, #Variable24, #Variable25, #Variable26, #Variable27, #Variable28, #Variable29, #Variable30, #Variable31, #Variable32, #Constraint1, #Constraint2, #Constraint3, #Constraint4, #Constraint5, #Constraint6, #Constraint7, #Constraint8, #Constraint9, #Constraint10, #Constraint11, #Constraint12, #Constraint13, #Constraint14, #Constraint15, #Constraint16, #Constraint17, #Constraint18, #Constraint19, #Constraint20, #Constraint21, #Constraint22, #OverallConstraintViolation
-14355203.297890,1518881.386528,98375804.668498,46.513533,-0.688030,0.754128,0.852328,0.908126,0.455209,0.630284,0.371469,0.389924,0.312586,0.223356,0.432549,0.905299,0.748829,0.420551,0.309030,0.925382,0.499733,0.082593,0.414726,0.035810,0.633609,0.158162,0.856128,0.033937,0.157423,0.096992,0.799902,0.831931,0.807662,0.136942,0.334652,0.424600,0.147765,9.730165,17.169777,0.489994,0.220577,0.553768,0.744536,0.485093,0.520575,0.714334,0.863615,0.497435,0.320563,0.072085,33.486467,0.001682,0.000513,3.971497,0.004603,0.004614,0.000706,0.002143,14355203.297890,0.000000
-14026429.044285,1342998.861526,96031949.995746,56.200747,-1.708492,0.398531,0.940664,0.644429,0.347200,0.396025,0.414264,0.615134,0.090697,0.450174,0.532849,0.680803,0.780227,0.178685,0.912857,0.726840,0.338126,0.492353,0.426159,0.287685,0.643219,0.654306,0.452229,0.573551,0.321036,0.002871,0.504159,0.983380,0.541985,0.341730,0.410371,0.339685,0.344037,10.613020,20.377421,0.402796,0.194399,0.674666,0.838107,0.605595,0.741129,0.851851,0.958749,0.818861,0.428649,0.039447,23.799253,0.001193,0.005777,2.435482,0.004055,0.004047,0.000003,0.002846,14026429.044285,0.000000
-14545957.152098,1428805.028464,72001991.032577,56.159563,-1.725087,0.893217,0.952569,0.574903,0.712053,0.669151,0.933473,0.622750,0.343071,0.454062,0.577881,0.642512,0.541767,0.478697,0.155474,0.732074,0.333648,0.491874,0.040889,0.933474,0.018524,0.676657,0.783917,0.567917,0.320423,0.000046,0.530653,0.952511,0.727327,0.928476,0.428150,0.357084,0.330097,8.845666,20.217671,0.385666,0.199215,0.752421,0.809262,0.666467,0.713756,0.913184,0.946174,0.821842,0.511523,0.128390,23.840437,0.000261,0.000278,12.510083,0.004797,0.004795,0.000960,0.001889,14545957.152098,0.000000
-14944061.226070,1462960.019899,77990665.514494,56.167637,-1.751546,0.896168,0.952613,0.569624,0.712053,0.701223,0.940745,0.604331,0.343071,0.203353,0.538179,0.642508,0.546636,0.421936,0.577527,0.732074,0.333648,0.491874,0.040889,0.909868,0.021334,0.678047,0.783917,0.567886,0.320476,0.000167,0.557617,0.959784,0.729391,0.928476,0.428732,0.437514,0.330097,8.598698,20.214419,0.271099,0.211076,0.735213,0.810147,0.651334,0.713583,0.901645,0.946584,0.826494,0.509734,0.009801,23.832363,0.002896,0.000276,11.928754,0.004762,0.004767,0.000954,0.001895,14944061.226070,0.000000
-13889289.965350,1474169.975392,80454187.246280,48.172841,-0.743661,0.648892,0.936415,0.574932,0.446727,0.680791,0.405703,0.606698,0.346213,0.449423,0.538182,0.642512,0.786503,0.425476,0.880488,0.736902,0.313996,0.491874,0.042637,0.938564,0.643670,0.682032,0.444980,0.015846,0.166410,0.135972,0.530810,0.952474,0.813028,0.016175,0.294016,0.434264,0.234637,10.981269,16.332178,0.284095,0.217932,0.620513,0.772256,0.545276,0.565846,0.761266,0.903681,0.524630,0.268754,0.053156,31.827159,0.007491,0.000320,4.888945,0.004716,0.004720,0.000611,0.002238,13889289.965350,0.000000
-16240153.275482,1476433.616459,86941087.989315,56.182915,-1.724970,0.524172,0.951997,0.776031,0.712053,0.669876,0.949805,0.408867,0.367695,0.133675,0.538182,0.642512,0.540421,0.480904,0.902616,0.501744,0.330125,0.491874,0.045507,0.931660,0.054916,0.659116,0.901777,0.566999,0.320260,0.000046,0.530359,0.952474,0.705245,0.926807,0.428150,0.434264,0.330097,8.381237,20.136420,0.199031,0.201931,0.708824,0.827669,0.629000,0.727562,0.882923,0.955350,0.821822,0.502860,0.005970,23.817085,0.004820,0.000200,6.139957,0.004202,0.004179,0.000119,0.002730,16240153.275482,0.000000
-11300556.943146,1424781.014646,75493725.912358,44.874174,-1.645501,0.650059,0.936415,0.574932,0.446727,0.679864,0.396609,0.606698,0.457262,0.146110,0.594418,0.642512,0.786503,0.427819,0.911571,0.736931,0.306103,0.491874,0.038273,0.511050,0.754028,0.682032,0.445097,0.920725,0.165735,0.014775,0.559533,0.952474,0.820104,0.016175,0.415581,0.425599,0.234637,11.096346,19.971665,0.446312,0.267542,0.727123,0.815294,0.585692,0.598681,0.894321,0.944134,0.807084,0.266792,0.075392,35.125826,0.007577,0.000636,4.832405,0.004854,0.004857,0.000742,0.002107,11300556.943146,0.000000
-13485239.262087,1493474.851170,74524482.981462,48.238276,-0.310799,0.854613,0.804818,0.789553,0.404970,0.618114,0.658892,0.467440,0.623128,0.050973,0.432871,0.583846,0.556611,0.303619,0.380069,0.997134,0.541839,0.260394,0.130590,0.922291,0.633661,0.421330,0.459918,0.411160,0.159855,0.158333,0.683405,0.834881,0.868864,0.534212,0.287785,0.394473,0.192080,11.391417,15.657500,0.336847,0.195132,0.608228,0.730297,0.523286,0.625263,0.752411,0.872551,0.267139,0.464043,0.173505,31.761724,0.002367,0.000585,5.769962,0.004073,0.004093,0.000637,0.002212,13485239.262087,0.000000
-11870936.839208,1484080.388279,79754838.497703,44.533392,-1.184239,0.888030,0.936415,0.574899,0.712053,0.680791,0.416137,0.610420,0.355098,0.449423,0.538182,0.642512,0.786503,0.422365,0.912638,0.736902,0.313996,0.500929,0.045513,0.861330,0.643537,0.682032,0.444980,0.013704,0.166410,0.000158,0.530810,0.952474,0.817688,0.013680,0.348853,0.434264,0.234637,10.773311,20.444046,0.340411,0.235436,0.670745,0.782633,0.548374,0.558702,0.834477,0.925615,0.694021,0.266426,0.055196,35.466608,0.006855,0.000404,5.563660,0.004787,0.004789,0.000956,0.001893,11870936.839208,0.000000
-14546946.443055,1436983.322107,72504550.810633,56.678826,-1.725087,0.893217,0.952569,0.572309,0.759366,0.669151,0.933473,0.622172,0.339418,0.454062,0.577881,0.642512,0.541767,0.478697,0.193246,0.732074,0.313565,0.491874,0.043655,0.930096,0.018524,0.920393,0.767490,0.567917,0.321289,0.013646,0.530653,0.952511,0.727327,0.918236,0.428150,0.357084,0.330097,8.437842,19.825015,0.337801,0.196464,0.751111,0.810075,0.665189,0.714234,0.912334,0.946595,0.821842,0.511523,0.128390,23.321174,0.000346,0.000323,12.391244,0.004787,0.004785,0.000958,0.001891,14546946.443055,0.000000
