#Objective1, #Objective2, #Objective3, #Objective4, #Objective5, #Variable1, #Variable2, #Variable3, #Variable4, #Variable5, #Variable6, #Variable7, #Variable8, #Variable9, #Variable10, #Variable11, #Variable12, #Variable13, #Variable14, #Variable15, #Variable16, #Variable17, #Variable18, #Variable19, #Variable20, #Variable21, #Variable22, #Variable23, #Variable24, #Variable25, #Variable26, #Variable27, #Variable28, #Variable29, #Variable30, #Variable31, #Variable32, #Constraint1, #Constraint2, #Constraint3, #Constraint4, #Constraint5, #Constraint6, #Constraint7, #Constraint8, #Constraint9, #Constraint10, #Constraint11, #Constraint12, #Constraint13, #Constraint14, #Constraint15, #Constraint16, #Constraint17, #Constraint18, #Constraint19, #Constraint20, #Constraint21, #Constraint22, #OverallConstraintViolation
-8336271.305008,1519555.132737,67190686.926527,43.618168,-1.098590,0.830543,0.934330,0.609334,0.544415,0.311413,0.109612,0.650542,0.750700,0.333450,0.579019,0.433566,0.281992,0.994022,0.613641,0.316256,0.799947,0.101617,0.210572,0.370574,0.832378,0.409751,0.139522,0.327943,0.083319,0.232949,0.255895,0.915940,0.510252,0.468966,0.435135,0.274257,0.098709,12.125508,13.652415,0.165760,0.152874,0.659602,0.680241,0.466765,0.482205,0.583106,0.637643,0.666659,0.438277,0.096248,36.381832,0.001295,0.000483,3.472993,0.003626,0.003616,0.000364,0.002485,8336271.305008,0.000000
-9439581.961988,1532700.159253,70663720.148732,41.941386,-0.796281,0.953231,0.924661,0.608539,0.544415,0.310833,0.109612,0.650542,0.690746,0.339207,0.579013,0.403485,0.280527,0.989743,0.613640,0.316678,0.799947,0.102662,0.174847,0.370574,0.832378,0.449096,0.070522,0.327943,0.063801,0.232949,0.256431,0.930340,0.510252,0.489478,0.308464,0.274257,0.098670,12.339561,13.695407,0.171654,0.147668,0.663481,0.685502,0.475337,0.491701,0.580476,0.642675,0.548997,0.433492,0.371224,38.058614,0.001135,0.000443,3.096199,0.003581,0.003572,0.000348,0.002501,9439581.961988,0.000000
-8333809.413895,1523931.005151,67119515.824717,43.630164,-1.102244,0.876340,0.934330,0.609438,0.544415,0.311409,0.109612,0.650542,0.750700,0.333450,0.579019,0.433566,0.281370,0.985928,0.613641,0.316256,0.799947,0.101617,0.210572,0.370574,0.832378,0.408444,0.140334,0.327943,0.083458,0.232949,0.256663,0.915940,0.510252,0.468966,0.435938,0.274257,0.098708,12.131369,13.655663,0.166834,0.152634,0.657243,0.677646,0.464135,0.479395,0.579009,0.633165,0.667875,0.438277,0.094447,36.369836,0.001293,0.000480,3.468059,0.003629,0.003619,0.000365,0.002484,8333809.413895,0.000000
-7949239.244857,1394854.622000,65280059.344290,45.042511,-0.589187,0.876996,0.934330,0.668816,0.544415,0.179040,0.109612,0.650436,0.721180,0.339186,0.578034,0.433532,0.281533,0.998260,0.657516,0.316678,0.799947,0.103383,0.174603,0.370574,0.829284,0.450742,0.096828,0.329059,0.171439,0.008181,0.141299,0.915940,0.559688,0.489762,0.289562,0.274257,0.082340,12.438806,20.508628,0.275431,0.138497,0.659362,0.677519,0.473787,0.486760,0.484522,0.553350,0.445222,0.457984,0.403460,34.957489,0.001620,0.000544,3.301028,0.004185,0.004173,0.000657,0.002192,7949239.244857,0.000000
-9446515.504847,1543265.608844,69520077.695875,41.941386,-0.770586,0.877421,0.924456,0.669715,0.544415,0.310832,0.109612,0.650542,0.707178,0.339207,0.579013,0.433566,0.280527,0.986750,0.613640,0.316678,0.800239,0.102662,0.174847,0.370574,0.832378,0.449956,0.070522,0.328718,0.063801,0.232949,0.256431,0.916217,0.568683,0.489958,0.310784,0.274257,0.098670,12.714657,13.699741,0.206828,0.150127,0.658407,0.679811,0.470107,0.486059,0.572311,0.631727,0.537258,0.461474,0.409325,38.058614,0.001107,0.000366,3.262151,0.003749,0.003740,0.000432,0.002417,9446515.504847,0.000000
-9448163.401083,1520241.582338,70347910.545605,42.142206,-0.796281,0.953231,0.924661,0.608525,0.544415,0.292804,0.109612,0.654543,0.690746,0.339207,0.579013,0.403485,0.280527,0.987013,0.422729,0.316678,0.799947,0.102662,0.167658,0.370574,0.832378,0.449096,0.070522,0.327943,0.066168,0.232914,0.256431,0.930340,0.510252,0.489478,0.308464,0.274257,0.098670,12.420058,13.693260,0.196709,0.148798,0.668885,0.691268,0.481289,0.497946,0.590614,0.652243,0.548997,0.433492,0.371224,37.857794,0.001147,0.000428,3.057181,0.003569,0.003562,0.000341,0.002508,9448163.401083,0.000000
-8263994.817771,1515371.784870,67176039.117634,43.615687,-1.102246,0.827709,0.934330,0.599508,0.544415,0.310848,0.109612,0.650542,0.750700,0.333347,0.579019,0.433566,0.281370,0.980284,0.613641,0.316679,0.799947,0.101617,0.210572,0.370574,0.832892,0.408444,0.070157,0.327943,0.083458,0.232949,0.256663,0.915940,0.510252,0.470018,0.435938,0.274257,0.098708,12.355666,13.709680,0.162264,0.153640,0.661756,0.682548,0.469336,0.484893,0.586768,0.641442,0.667876,0.438277,0.094447,36.384313,0.001356,0.000507,3.471582,0.003624,0.003615,0.000370,0.002479,8263994.817771,0.000000
-7832722.922999,1393849.628480,65594442.941504,45.086661,-0.592229,0.876806,0.934332,0.668816,0.465895,0.182479,0.109612,0.648241,0.718971,0.337902,0.578016,0.433531,0.281497,0.998426,0.657587,0.316678,0.775645,0.102235,0.174538,0.370672,0.832722,0.559686,0.096635,0.326242,0.169888,0.014141,0.256005,0.915940,0.560118,0.489762,0.289909,0.274257,0.124616,12.383510,20.321234,0.300282,0.149016,0.677446,0.751400,0.575110,0.585499,0.780790,0.806015,0.446907,0.458156,0.403741,34.913339,0.001682,0.000577,3.240333,0.004292,0.004282,0.000719,0.002130,7832722.922999,0.000000
-5033108.186279,1370058.318915,62754295.527389,44.732788,-0.794720,0.831178,0.947128,0.608604,0.543250,0.192795,0.094983,0.650542,0.807383,0.453285,0.577987,0.433531,0.281501,0.981185,0.612386,0.316680,0.683896,0.102660,0.210594,0.460392,0.826260,0.450042,0.097500,0.327219,0.169811,0.001218,0.256433,0.929805,0.509223,0.489762,0.308480,0.274257,0.125306,12.232828,20.718388,0.248013,0.145308,0.706215,0.755996,0.576734,0.587435,0.786815,0.809211,0.548293,0.433261,0.370553,35.267212,0.001915,0.000834,3.161261,0.004132,0.004121,0.000637,0.002212,5033108.186279,0.000000
-10413197.797597,1586693.093863,69761155.512179,42.793812,-0.780524,0.876926,0.929881,0.770362,0.544415,0.310832,0.066563,0.650418,0.691187,0.339207,0.579013,0.433566,0.281678,0.987411,0.613607,0.336528,0.799947,0.102662,0.174849,0.369841,0.826112,0.450042,0.070522,0.327944,0.063801,0.271388,0.256427,0.915940,0.510252,0.489478,0.312097,0.274822,0.098670,13.010948,12.550113,0.223849,0.136839,0.640652,0.660609,0.448433,0.463258,0.540231,0.598337,0.541834,0.438277,0.368858,37.206188,0.000787,0.000247,3.167697,0.003844,0.003834,0.000481,0.002368,10413197.797597,0.000000
